model,family,metric_name,block,reading_bin,reading_phase,raw_spearman_rho,length_controlled_spearman_rho,n_programs,status
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,5,middle,-0.0076979472140762,0.3053519061583578,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,6,middle,0.19024926686217,0.4318181818181817,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,7,middle,0.063049853372434,0.3324780058651026,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,8,late,0.1279325513196481,0.531524926686217,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,9,late,0.0993401759530791,0.4681085043988269,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,10,late,-0.0865102639296187,0.3870967741935483,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,10,11,late,0.0472873900293255,0.379032258064516,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,0,early,-0.4241202346041055,-0.2254398826979472,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,1,early,-0.4721407624633431,-0.1176686217008797,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,2,early,-0.5146627565982405,-0.2730938416422287,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,3,early,-0.6455278592375365,-0.3379765395894428,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,4,middle,-0.5263929618768328,-0.2778592375366568,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,5,middle,-0.5201612903225806,-0.2349706744868035,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,6,middle,-0.3870967741935483,-0.1044721407624633,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,7,middle,-0.4461143695014662,-0.1612903225806451,32,available
Qwen,Expert-choice confidence,fixed_v8_composite_1,11,8,late,-0.2639296187683284,0.0978739002932551,32,available
